code,year,happiness,food_insec,precipitation,indiv_free,gini,hdi,gdp_pc,family,corruption,air_deaths,life_expectancy,temperature,urbanization,covid,hri,suicides,taxes,schooling
ESP,2019,6.4009,80.565,2.6873534,5.28,58.2,89.21,83.5321,14.583291,0.3,0.976,0.34305838,35.31597,0.908,40782.2350436035,1.8,636.0,0.958,10.653
ESP,2018,6.3541,80.321,2.6840222,5.38,58.0,89.21,83.1436,14.180961,0.3,0.972,0.3471895,35.323322,0.901,40276.9081639705,1.7,636.0,0.952,10.662965
ESP,2017,6.3099,80.08,2.648985,5.77,57.0,89.21,83.0295,15.049897,0.3,0.972,0.34654546,34.566517,0.897,39550.1890761123,1.4,636.0,0.948,10.78
ESP,2016,6.403,79.84,2.7695692,5.54,58.0,89.21,83.0411,14.596035,0.3,0.975,0.35759893,34.34127,0.895,38497.48491577,1.3,636.0,0.952,10.653
ESP,2015,6.361,79.602,2.9491704,5.64,58.0,89.21,82.6464,14.811069,0.3,0.971,0.3618142,34.631184,0.889,37394.055186298,1.1,636.0,0.952,10.653
ESP,2014,6.329,79.366,3.0395765,6.21,60.0,91.14768,82.858,14.683833,0.3,0.97,0.36054415,34.729828,0.884,35983.8075711698,1.586,636.0,0.958,10.653
ESP,2011,6.761248,78.673,3.2417498,5.1,58.2,89.21,82.1974,14.716698,0.3,0.981,0.35698605,32.08976,0.872,36883.3229775247,1.586,636.0,0.963,10.653
LKA,2022,4.4416,18.446,10.773,14.177,37.4,,75.36,26.444489,0.09227037445192308,0.695,0.385,7.3918586,0.769,12200.1373948947,0.829,1712.0,0.686,8.379
LKA,2021,4.3622,18.86,10.773,14.177,37.4,,76.3991,26.601728,0.4222907210555769,0.66,0.385,7.535049,0.782,13250.6298475613,1.2,1712.0,0.639,8.379
LKA,2020,4.325,18.713,10.773,14.177,37.4,,76.3929,26.989586,-0.010528584935849059,0.649,0.385,7.884761,0.78,12939.440565095,1.1,1712.0,0.667,8.462184
LKA,2019,4.327,18.585,10.097352,12.8878,37.4,,76.0084,26.895887,0.168,0.753,0.37663776,11.086121,0.778,13639.0218846549,0.9,1712.0,0.777,8.379
LKA,2018,4.3659,18.476,10.296928,13.2443,38.0,,75.748,26.364687,0.168,0.799,0.385,11.318004,0.776,13753.054887365,0.7,1712.0,0.839,8.374124
LKA,2017,4.4706,18.384,10.448991,13.6742,38.0,,75.4035,26.739088,0.168,0.741,0.385,11.768131,0.771,13544.5189851873,0.6,1712.0,0.788,8.3
LKA,2016,4.44,18.311,10.594726,14.1734,36.0,,75.3314,27.213982,0.168,0.736,0.39345774,11.564334,0.767,12770.8428315359,0.6,1712.0,0.788,8.379
LKA,2015,4.415,18.256,10.779699,14.6994,37.0,,74.9275,26.65773,0.168,0.688,0.385,11.8517885,0.764,12207.090713928,0.7,1712.0,0.733,8.379
LKA,2014,4.271,18.218,11.015696,12.7173,38.0,,74.6508,26.595484,0.168,0.608,0.385,9.886314,0.76,11768.0203910113,0.829,1712.0,0.599,8.379
LKA,2011,4.25961,18.211,12.1783495,17.8453,37.4,,73.38,26.48091,0.168,0.551,0.385,11.016177,0.744,9965.02194926347,0.829,1712.0,0.551,8.379
SDN,2017,4.1387,34.37,16.05932,4.8,16.0,,65.4447,27.732122,,0.179,0.342,5.110975,0.514,4613.9501953125,15.4,250.0,0.256,4.42
SDN,2016,4.139,34.121,16.147947,4.84,14.0,,64.7801,27.777704,,0.124,0.342,4.691163,0.511,4733.017578125,14.4,250.0,0.207,4.42
